"Zur Homepage","RBO Home"
"Impressum","Imprint"
"Allgemeine Information","General Information"
"Allgemeine Geschäftsbedingungen","Conditions of Use & Sale"
"Widerrufsbelehrung und Rücktrittsrecht","Right of Cancellation / Right of Withdrawal"
"DSGVO Datenschutzerklärung","Privacy notice"
"Information über Verwendung von Cookies","Cookies notice"
"Add to Wish List","Wish list"
"Add to Compare","Compare"
"Tax","Taxes (VAT)"
"Order Total Incl. Tax","Order Total Incl. VAT"
"Order Total Excl. Tax", "Order Total Excl. VAT"
"Default welcome msg!","You are currently not logged in.",module,Magento_Theme
